mean,std,rms,kurtosis,skewness,max_freq,mean_freq,peak_psd_freq,mean_psd,file,hdbscan_cluster
9.6435546875e-06,0.8361937009435316,0.8361937009991396,-1.6954758945516364,2.160437078307861e-05,270.0,422.22968319472255,269.53125,0.0006978916684246,signal_1.wav,-1
-4.09149169921875e-05,0.8067149779907349,0.8067149790282949,-1.596326916473849,7.423358890661277e-05,430.0,451.6249267049813,429.6875,0.0006494866919692,signal_10.wav,-1
-0.0001052154541015,0.7701240601191016,0.7701240673064448,-1.5385677680209011,1.8540452796228956e-05,400.0,408.4328754308876,400.390625,0.0005918399586661,signal_2.wav,-1
-0.0002304962158203,0.803021805848529,0.8030218389288911,-1.6113964978675042,0.000872206601807,300.0,398.8495305157482,300.78125,0.000643499445255,signal_3.wav,-1
-0.0001446899414062,0.8254622880116763,0.8254623006925578,-1.6703080745599337,0.000250391009605,260.0,404.5719458312363,259.765625,0.0006800443443101,signal_4.wav,-1
-9.66552734375e-05,0.8354194256595591,0.8354194312509072,-1.6894115356684956,0.000302564507154,280.0,372.20571227816856,109.375,0.0006965177093191,signal_5.wav,-1
0.000208267211914,0.7765559247082611,0.7765559526362115,-1.5221865695334105,-0.0004529249172498,500.0,478.9742464100036,500.0,0.0006018406100449,signal_6.wav,-1
-0.0001024810791015,0.7874236307569448,0.7874236374257639,-1.6215544147065686,-0.0001588536452303,210.0,412.3238862166736,210.9375,0.0006188662500805,signal_7.wav,-1
-0.0002827239990234,0.7786410214086608,0.7786410727371001,-1.551846682434039,0.0008465882179127,50.0,379.6620900962185,50.78125,0.0006051408132925,signal_8.wav,-1
4.913330078125e-07,0.7910388744164958,0.7910388744166483,-1.570370961586728,0.0001286710767892,180.0,328.7657258254626,179.6875,0.0006245448661399,signal_9.wav,-1
